period,gr_to_gr,se1,se2,gr_to_gn,se3,se4,gr_to_u,se5,se6,gr_to_e,se7,se8,gr_to_psi,se9,se10,gn_to_gr,se11,se12,gn_to_gn,se13,se14,gn_to_u,se15,se16,gn_to_e,se17,se18,gn_to_psi,se19,se20,u_to_gr,se21,se22,u_to_gn,se23,se24,u_to_u,se25,se26,u_to_e,se27,se28,u_to_psi,se29,se30,e_to_gr,se31,se32,e_to_gn,se33,se34,e_to_u,se35,se36,e_to_e,se37,se38,e_to_psi,se39,se40,psi_to_gr,se41,se42,psi_to_gn,se43,se44,psi_to_u,se45,se46,psi_to_e,se47,se48,psi_to_psi,se49,se50
11,1.067723,3.681123,-1.545677,-1.439394,1.584506,-4.463294,-0.187985,2.400455,-2.776425,0.993914,3.873074,-1.885246,1.478921,4.816501,-1.858659,1.085731,2.269531,-0.098069,-0.461029,0.790191,-1.712249,-2.256711,-1.152931,-3.360491,-0.695035,0.484165,-1.874235,0.301247,1.863407,-1.260913,0.324742,0.773622,-0.124138,-0.464438,0.032922,-0.961798,-0.472111,-0.027311,-0.916911,-0.211215,0.266165,-0.688595,0.119458,0.707978,-0.469062,0.196471,0.416371,-0.023429,-0.243701,-0.004461,-0.482941,-0.325932,-0.106792,-0.545072,0.020684,0.265444,-0.224076,0.052452,0.344372,-0.239468,0.500482,0.749382,0.251582,-0.072955,0.217385,-0.363295,-0.060208,0.214992,-0.335408,-0.127525,0.176995,-0.432045,-0.141905,0.177615,-0.461425
12,0.381837,2.995497,-2.231823,-0.358826,2.653594,-3.371246,0.324296,2.862556,-2.213964,1.608226,4.463046,-1.246594,1.112893,4.457913,-2.232127,0.946781,2.156501,-0.262939,-0.474501,0.831779,-1.780781,-2.071463,-0.935243,-3.207683,-0.417828,0.809632,-1.645288,0.32436,1.91588,-1.26716,0.322418,0.772218,-0.127382,-0.348701,0.157019,-0.854421,-0.319431,0.126549,-0.765411,-0.027936,0.454864,-0.510736,-0.030617,0.544063,-0.605297,0.157307,0.380807,-0.066193,-0.198902,0.045238,-0.443042,-0.282984,-0.062204,-0.503764,0.102076,0.350956,-0.146804,-0.011136,0.278284,-0.300556,0.323631,0.582731,0.064531,-0.0781,0.2051,-0.3613,-0.247904,0.018116,-0.513924,-0.21422,0.09964,-0.52808,-0.033248,0.301172,-0.367668
13,-0.272227,2.330233,-2.874687,0.109695,3.093335,-2.873945,0.827218,3.315198,-1.660762,1.567267,4.355627,-1.221093,1.03522,4.37672,-2.30628,0.552594,1.771994,-0.666806,-0.510903,0.831217,-1.853023,-1.822624,-0.663984,-2.981264,-0.069293,1.190827,-1.329413,0.309659,1.941739,-1.322421,0.187543,0.632423,-0.257337,-0.235939,0.273081,-0.744959,-0.220996,0.218244,-0.660236,-0.070273,0.415087,-0.555633,-0.015908,0.566632,-0.598448,0.119276,0.342576,-0.104024,-0.137345,0.112575,-0.387265,-0.241455,-0.017635,-0.465275,0.074483,0.331363,-0.182397,-0.006355,0.289665,-0.302375,0.401191,0.667571,0.134811,-0.212837,0.077403,-0.503077,-0.303339,-0.016859,-0.589819,-0.039482,0.271698,-0.350662,-0.117091,0.232729,-0.466911
14,-0.957194,1.644186,-3.558574,0.380628,3.318648,-2.557392,1.978124,4.370924,-0.414676,1.454341,4.134381,-1.225699,0.533555,3.893395,-2.826285,0.147237,1.346837,-1.052363,-0.614892,0.728368,-1.958152,-1.101438,0.063562,-2.266438,0.053334,1.309254,-1.202586,0.072841,1.674261,-1.528579,0.101478,0.538538,-0.335582,-0.214121,0.291679,-0.719921,-0.002355,0.425945,-0.430655,-0.178846,0.292754,-0.650446,-0.002529,0.570131,-0.575189,0.033749,0.251029,-0.183531,-0.115927,0.133633,-0.365487,-0.094566,0.124314,-0.313446,0.097754,0.345674,-0.150166,-0.038391,0.251109,-0.327891,0.316638,0.584818,0.048458,-0.185487,0.115793,-0.486767,-0.188003,0.102257,-0.478263,0.172575,0.481835,-0.136685,-0.241799,0.104981,-0.588579
15,-1.700557,0.888283,-4.289397,0.839242,3.767282,-2.088798,1.961564,4.321504,-0.398376,0.940633,3.533753,-1.652487,0.468057,3.805517,-2.869403,-0.268835,0.911005,-1.448675,-0.602151,0.743789,-1.948091,-0.498817,0.661323,-1.658957,0.149373,1.389993,-1.091247,-0.331992,1.239668,-1.903652,-0.044015,0.388325,-0.476355,-0.236059,0.266121,-0.738239,0.112801,0.523961,-0.298359,-0.139174,0.317946,-0.596294,-0.004151,0.562009,-0.570311,-0.044297,0.169403,-0.257997,-0.090239,0.158981,-0.339459,-0.009252,0.204188,-0.222692,0.053423,0.293343,-0.186497,-0.044344,0.243556,-0.332244,0.292964,0.563924,0.022004,-0.04078,0.27056,-0.35212,-0.150598,0.142542,-0.443738,-0.017345,0.290635,-0.325325,-0.274587,0.076093,-0.625267
16,-1.900033,0.671087,-4.471153,1.181653,4.110353,-1.747047,1.849278,4.197658,-0.499102,0.714334,3.246734,-1.818066,0.326372,3.660472,-3.007728,-0.514129,0.647071,-1.675329,-0.445689,0.903811,-1.795189,0.057422,1.208282,-1.093438,0.232329,1.465889,-1.001231,-0.599125,0.947055,-2.145305,-0.065186,0.364714,-0.495086,-0.169327,0.330133,-0.668787,0.223768,0.627028,-0.179492,-0.096019,0.352161,-0.544199,-0.11303,0.44733,-0.67339,-0.095611,0.116249,-0.307471,-0.049798,0.197902,-0.297498,0.00303,0.21299,-0.20693,0.057369,0.296369,-0.181631,-0.057253,0.227827,-0.342333,0.254053,0.524973,-0.016867,-0.042589,0.264691,-0.349869,-0.204179,0.081981,-0.490339,-0.040258,0.263922,-0.344438,-0.152442,0.204818,-0.509702
17,-1.587272,0.971748,-4.146292,1.452788,4.393088,-1.487512,1.951766,4.285346,-0.381814,0.802414,3.325234,-1.720406,-0.05387,3.32127,-3.42901,-0.726217,0.424563,-1.876997,-0.215096,1.137664,-1.567856,0.597682,1.727382,-0.532018,0.288147,1.511847,-0.935553,-0.815837,0.721643,-2.353317,-0.070825,0.357375,-0.499025,-0.131326,0.373654,-0.636306,0.344853,0.745193,-0.055487,-0.051784,0.387896,-0.491464,-0.28905,0.27057,-0.84867,-0.104792,0.104568,-0.314152,-0.046618,0.202302,-0.295538,0.094563,0.300003,-0.110877,0.130624,0.364064,-0.102816,-0.133379,0.150921,-0.417679,0.230523,0.495903,-0.034857,-0.06288,0.2454,-0.37116,-0.026073,0.251327,-0.303473,0.103426,0.406186,-0.199334,-0.048938,0.310142,-0.408018
18,-1.753871,0.777629,-4.285371,1.780072,4.739612,-1.179468,1.367564,3.742584,-1.007456,0.593813,3.135693,-1.948067,0.446377,3.799877,-2.907123,-0.945,0.20536,-2.09536,-0.019012,1.335608,-1.373632,1.063979,2.175819,-0.047861,0.28143,1.49747,-0.93461,-0.933459,0.618921,-2.485839,-0.132095,0.294165,-0.558355,0.002116,0.500516,-0.496284,0.367193,0.750453,-0.016067,-0.144465,0.288015,-0.576945,-0.239485,0.318935,-0.797905,-0.144452,0.064008,-0.352912,0.015684,0.261304,-0.229936,0.15162,0.35234,-0.0491,0.088364,0.317044,-0.140316,-0.152403,0.131277,-0.436083,0.130547,0.393507,-0.132413,-0.109907,0.202013,-0.421827,0.020822,0.300522,-0.258878,0.114963,0.419503,-0.189577,-0.20396,0.15236,-0.56028
19,-1.849417,0.661383,-4.360217,1.669725,4.629785,-1.290335,0.838285,3.201905,-1.525335,0.255583,2.804263,-2.293097,0.726324,4.001584,-2.548936,-1.130215,0.033505,-2.293935,0.215731,1.554731,-1.123269,1.221764,2.318144,0.125384,0.109071,1.303951,-1.085809,-0.761879,0.787461,-2.311219,-0.18304,0.2416,-0.60768,0.026766,0.513166,-0.459634,0.368956,0.740996,-0.003084,-0.184989,0.237031,-0.607009,-0.130246,0.411994,-0.672486,-0.166179,0.043061,-0.375419,0.055347,0.295927,-0.185233,0.189816,0.387956,-0.008324,0.062962,0.288342,-0.162418,-0.123489,0.155831,-0.402809,0.070196,0.331196,-0.190804,-0.029031,0.271349,-0.329411,0.001953,0.267413,-0.263507,0.052406,0.346766,-0.241954,-0.182848,0.154012,-0.519708
20,-1.719059,0.782841,-4.220959,1.252816,4.180336,-1.674704,0.785941,3.076261,-1.504379,0.094658,2.644258,-2.454942,0.650334,3.813294,-2.512626,-1.304914,-0.128794,-2.481034,0.300131,1.625211,-1.024949,1.267506,2.366066,0.168946,0.047679,1.221199,-1.125841,-0.64836,0.88148,-2.1782,-0.256145,0.163955,-0.676245,0.050317,0.527797,-0.427163,0.291663,0.654823,-0.071497,-0.294148,0.118892,-0.707188,0.019435,0.542395,-0.503525,-0.200336,0.007784,-0.408456,0.075176,0.310296,-0.159944,0.179392,0.375272,-0.016488,0.011416,0.229236,-0.206404,-0.038951,0.228029,-0.305931,0.128697,0.389657,-0.132263,-0.020608,0.280352,-0.321568,0.109681,0.369301,-0.149939,0.105013,0.391973,-0.181947,-0.222072,0.107668,-0.551812
