period,u_to_u,se1,se2,u_to_g,se3,se4,u_to_e,se5,se6,u_to_psi,se7,se8,g_to_u,se9,se10,g_to_g,se11,se12,g_to_e,se13,se14,g_to_psi,se15,se16,e_to_u,se17,se18,e_to_g,se19,se20,e_to_e,se21,se22,e_to_psi,se23,se24,psi_to_u,se25,se26,psi_to_g,se27,se28,psi_to_e,se29,se30,psi_to_psi,se31,se32
12,-0.146771,0.158589,-0.452131,-0.24924,0.08992,-0.5884,-0.319624,-0.023104,-0.616144,-0.049564,0.330316,-0.429444,-1.407752,-0.364232,-2.451272,-1.620796,-0.399576,-2.842016,-0.17274,0.84342,-1.1889,0.621047,1.920227,-0.678133,-0.156057,-0.008937,-0.303177,-0.092315,0.074945,-0.259575,-0.029022,0.114238,-0.172282,-0.044098,0.141522,-0.229718,0.054737,0.235477,-0.126003,0.189968,0.386348,-0.006412,-0.141785,0.028515,-0.312085,-0.028729,0.187151,-0.244609
13,-0.140253,0.151107,-0.431613,-0.28038,0.04378,-0.60454,-0.259679,0.027381,-0.546739,-0.00497,0.35327,-0.36321,-1.230168,-0.230148,-2.230188,-1.65707,-0.47865,-2.83549,0.073073,1.045453,-0.899307,0.733931,1.921231,-0.453369,-0.16309,-0.02419,-0.30199,-0.131269,0.028711,-0.291249,0.000732,0.137932,-0.136468,-0.011888,0.160732,-0.184508,0.006485,0.179605,-0.166635,0.120773,0.309433,-0.067887,-0.129576,0.036204,-0.295356,-0.022267,0.184573,-0.229107
14,-0.117726,0.158014,-0.393466,-0.285593,0.020587,-0.591773,-0.208218,0.067842,-0.484278,0.027187,0.360147,-0.305773,-0.993497,-0.042657,-1.944337,-1.558821,-0.427181,-2.690461,0.261504,1.183924,-0.660916,0.782606,1.852246,-0.287034,-0.158388,-0.027748,-0.289028,-0.15399,-0.00207,-0.30591,0.027449,0.158009,-0.103111,0.014206,0.171506,-0.143094,-0.0331,0.1303,-0.1965,0.055223,0.235383,-0.124937,-0.113428,0.047172,-0.274028,-0.009063,0.187537,-0.205663
15,-0.085419,0.173441,-0.344279,-0.270086,0.016494,-0.556666,-0.167127,0.097173,-0.431427,0.04769,0.35405,-0.25867,-0.731642,0.165538,-1.628822,-1.367082,-0.280902,-2.453262,0.38309,1.25367,-0.48749,0.77803,1.73891,-0.18285,-0.144249,-0.022349,-0.266149,-0.161149,-0.017729,-0.304569,0.0502,0.17358,-0.07318,0.03329,0.17409,-0.10751,-0.060127,0.092773,-0.213027,0.001322,0.171322,-0.168678,-0.091453,0.062987,-0.245893,0.005527,0.190207,-0.179153
16,-0.047404,0.194236,-0.289044,-0.238709,0.028351,-0.505769,-0.136547,0.116053,-0.389147,0.057705,0.338025,-0.222615,-0.463198,0.380122,-1.306518,-1.109869,-0.062169,-2.157569,0.447622,1.267582,-0.372338,0.727988,1.596828,-0.140852,-0.123848,-0.010288,-0.237408,-0.15551,-0.01985,-0.29117,0.067425,0.183665,-0.048815,0.045641,0.170221,-0.078939,-0.077585,0.065215,-0.220385,-0.041148,0.118312,-0.200608,-0.069076,0.078904,-0.217056,0.019983,0.191183,-0.151217
17,-0.007774,0.217226,-0.232774,-0.196639,0.052241,-0.445519,-0.115897,0.125563,-0.357357,0.058824,0.314824,-0.197176,-0.210271,0.584969,-1.005511,-0.819286,0.198554,-1.837126,0.460329,1.232469,-0.311811,0.642658,1.439038,-0.153722,-0.099586,0.006354,-0.205526,-0.139987,-0.010647,-0.269327,0.078959,0.188399,-0.030481,0.051921,0.161781,-0.057939,-0.085136,0.047624,-0.217896,-0.071954,0.076806,-0.220714,-0.047157,0.094183,-0.188497,0.033092,0.189612,-0.123428
18,0.029916,0.239716,-0.179884,-0.149125,0.083255,-0.381505,-0.104232,0.126868,-0.335332,0.052986,0.287106,-0.181134,0.011282,0.767222,-0.744658,-0.524946,0.467374,-1.517266,0.429725,1.156445,-0.296995,0.534634,1.275294,-0.206026,-0.073949,0.025431,-0.173329,-0.117475,0.007005,-0.241955,0.085054,0.188114,-0.018006,0.05287,0.15029,-0.04455,-0.084169,0.038571,-0.206909,-0.090436,0.047444,-0.228316,-0.026703,0.107757,-0.161163,0.04328,0.18428,-0.09772
19,0.063161,0.259641,-0.133319,-0.100564,0.116896,-0.318024,-0.099957,0.121643,-0.321557,0.042213,0.256953,-0.172527,0.192336,0.917616,-0.532944,-0.248101,0.718379,-1.214581,0.368008,1.050668,-0.314652,0.414591,1.109931,-0.280749,-0.049054,0.045206,-0.143314,-0.091028,0.029812,-0.211868,0.086122,0.183222,-0.010978,0.049582,0.137282,-0.038118,-0.076881,0.036419,-0.190181,-0.098222,0.029398,-0.225842,-0.009477,0.118203,-0.137157,0.05017,0.17561,-0.07527
20,0.090205,0.275125,-0.094715,-0.054593,0.149007,-0.258193,-0.101331,0.111629,-0.314291,0.028408,0.226068,-0.169252,0.327076,1.026756,-0.372604,-0.005835,0.929565,-0.941235,0.285477,0.924357,-0.353403,0.292478,0.946278,-0.361322,-0.026445,0.063995,-0.116885,-0.06329,0.05445,-0.18103,0.083033,0.174493,-0.008427,0.043197,0.123697,-0.037303,-0.064803,0.039537,-0.169143,-0.096933,0.021347,-0.215213,0.004162,0.125382,-0.117058,0.053674,0.164194,-0.056846
21,0.110071,0.284691,-0.064549,-0.014027,0.176133,-0.204187,-0.106652,0.098468,-0.311772,0.013359,0.195839,-0.169121,0.414705,1.089165,-0.259755,0.190538,1.086718,-0.705642,0.192333,0.787513,-0.402847,0.176928,0.788168,-0.434312,-0.007283,0.080197,-0.094763,-0.03648,0.07802,-0.15098,0.076713,0.162733,-0.009307,0.034824,0.110004,-0.040356,-0.04987,0.04617,-0.14591,-0.088387,0.021753,-0.198527,0.014015,0.129155,-0.101125,0.053826,0.150606,-0.042954
